"노드링크 유형","노드 WKT","노드 ID","노드 유형 코드","링크 WKT","링크 ID","링크 유형 코드","시작노드 ID","종료노드 ID","링크 길이","시군구코드","시군구명","읍면동코드","읍면동명"
"NODE","POINT(126.91847816855828 37.57011730370696)","80403","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"LINK","","0","","LINESTRING(126.90844132910284 37.5725755071145,126.90857364691671 37.57252983912924)","259531","1011","79718","184029","12.7410","1141000000","서대문구","1141011900","북가좌동"
"NODE","POINT(126.91980728790111 37.57071895252528)","80404","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"LINK","","0","","LINESTRING(126.95548659294387 37.562503340832535,126.95559580825648 37.56255372964293)","245444","1000","71583","71406","11.1530","1141000000","서대문구","1141011000","북아현동"
"NODE","POINT(126.94605728987267 37.59442215179581)","170157","0","","0","","","","","1141000000","서대문구","1141011800","홍은동"
"LINK","","0","","LINESTRING(126.94904978585035 37.59646744148244,126.94911168045192 37.59656298701492)","258948","1000","168179","165449","11.9300","1141000000","서대문구","1141011100","홍제동"
"LINK","","0","","LINESTRING(126.96404698376583 37.564552204477636,126.96392630638357 37.56440570172146)","201507","1000","77970","77989","19.4440","1141000000","서대문구","1141010100","충정로2가"
"NODE","POINT(126.95537726858254 37.56263603436618)","71372","0","","0","","","","","1141000000","서대문구","1141011000","북아현동"
"LINK","","0","","LINESTRING(126.94446244471182 37.58831555847041,126.9445966534364 37.588452260309325)","66472","1000","148404","213882","19.2540","1141000000","서대문구","1141011100","홍제동"
"LINK","","0","","LINESTRING(126.93638775422426 37.58213711275328,126.93641095389117 37.581908272920124)","80233","1000","81943","102049","25.4810","1141000000","서대문구","1141011800","홍은동"
"LINK","","0","","LINESTRING(126.93525653640535 37.575404763422746,126.93551623922131 37.575428530196426)","235513","1000","183926","183929","23.0920","1141000000","서대문구","1141011700","연희동"
"NODE","POINT(126.95551522465631 37.562700165295304)","71373","0","","0","","","","","1141000000","서대문구","1141011000","북아현동"
"NODE","POINT(126.96395700979998 37.5671825695)","77482","0","","0","","","","","1141000000","서대문구","1141010500","냉천동"
"LINK","","0","","LINESTRING(126.93066285998388 37.56300866927883,126.93099041187678 37.563210251884065)","173639","1011","55147","55148","36.5800","1141000000","서대문구","1141011700","연희동"
"NODE","POINT(126.91516701356018 37.5689921618189)","127686","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"LINK","","0","","LINESTRING(126.92669849828411 37.581395725928864,126.9266073187928 37.581493748952695)","28156","1000","40863","104301","13.5360","1141000000","서대문구","1141011800","홍은동"
"NODE","POINT(126.9476088891273 37.596944404815964)","168061","0","","0","","","","","1141000000","서대문구","1141011100","홍제동"
"NODE","POINT(126.92121947036203 37.57209778746247)","153987","0","","0","","","","","1141000000","서대문구","1141011700","연희동"
"NODE","POINT(126.90600245983832 37.580212639282934)","149534","0","","0","","","","","1141000000","서대문구","1141011900","북가좌동"
"NODE","POINT(126.95559580825648 37.56255372964293)","71406","0","","0","","","","","1141000000","서대문구","1141011000","북아현동"
"LINK","","0","","LINESTRING(126.93172689155024 37.568957177557856,126.9316520254975 37.5690807147685)","82841","1000","58734","58735","15.2230","1141000000","서대문구","1141011700","연희동"
"LINK","","0","","LINESTRING(126.96231219198907 37.559591770634675,126.96267064584663 37.560020032190295)","173002","1000","213831","213892","57.1170","1141000000","서대문구","1141010200","충정로3가"
"NODE","POINT(126.9404858148734 37.595179451445794)","145835","0","","0","","","","","1141000000","서대문구","1141011800","홍은동"
"NODE","POINT(126.94585921135051 37.59438960783507)","170185","0","","0","","","","","1141000000","서대문구","1141011800","홍은동"
"NODE","POINT(126.9459428086202 37.59431734922514)","170186","0","","0","","","","","1141000000","서대문구","1141011800","홍은동"
"NODE","POINT(126.93141813234537 37.577539091294184)","184000","0","","0","","","","","1141000000","서대문구","1141011700","연희동"
"NODE","POINT(126.9442513543574 37.58871298910857)","213809","2","","0","","","","","1141000000","서대문구","1141011100","홍제동"
"LINK","","0","","LINESTRING(126.94039471402218 37.59512754123684,126.9406682041476 37.5948027094281)","78138","1000","213863","213777","43.3950","1141000000","서대문구","1141011800","홍은동"
"NODE","POINT(126.96149652001179 37.5708768947391)","72383","0","","0","","","","","1141000000","서대문구","1141010800","영천동"
"LINK","","0","","LINESTRING(126.91287037031452 37.570440172387215,126.91269009276351 37.57019432063855)","86452","1011","104295","150341","31.5940","1141000000","서대문구","1141012000","남가좌동"
"NODE","POINT(126.96410318700116 37.56725268679333)","77493","0","","0","","","","","1141000000","서대문구","1141010500","냉천동"
"NODE","POINT(126.90818265777362 37.57899967295319)","150362","0","","0","","","","","1141000000","서대문구","1141011900","북가좌동"
"NODE","POINT(126.90816535262803 37.57886057372247)","150361","0","","0","","","","","1141000000","서대문구","1141011900","북가좌동"
"NODE","POINT(126.9086374522132 37.57865694757936)","150360","0","","0","","","","","1141000000","서대문구","1141011900","북가좌동"
"LINK","","0","","LINESTRING(126.94136309327179 37.59120204054222,126.94180493374704 37.59140552944216)","129944","1000","82304","146020","45.0870","1141000000","서대문구","1141011800","홍은동"
"NODE","POINT(126.9177169497823 37.57056971336543)","150345","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"NODE","POINT(126.96340550631122 37.55941654301676)","83937","0","","0","","","","","1141000000","서대문구","1141010200","충정로3가"
"NODE","POINT(126.91302500184143 37.57044728688999)","150342","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"NODE","POINT(126.91269009276351 37.57019432063855)","150341","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"NODE","POINT(126.91650902392628 37.568735659101876)","150335","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"NODE","POINT(126.9154123541531 37.569206887365304)","150333","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"NODE","POINT(126.94656278232328 37.59768651759015)","201487","0","","0","","","","","1141000000","서대문구","1141011100","홍제동"
"NODE","POINT(126.93608976687679 37.56012643602593)","215476","2","","0","","","","","1141000000","서대문구","1141011600","창천동"
"NODE","POINT(126.96027114939747 37.57188801796695)","84400","0","","0","","","","","1141000000","서대문구","1141010800","영천동"
"NODE","POINT(126.94119512424403 37.591533384311525)","82305","0","","0","","","","","1141000000","서대문구","1141011800","홍은동"
"NODE","POINT(126.93506576863129 37.58121182947596)","81421","0","","0","","","","","1141000000","서대문구","1141011800","홍은동"
"LINK","","0","","LINESTRING(126.95654640720761 37.55929979122851,126.95669016857553 37.55925865046805)","110466","1000","71979","71985","13.4980","1141000000","서대문구","1141011000","북아현동"
"NODE","POINT(126.93527296181408 37.58103801546885)","81422","0","","0","","","","","1141000000","서대문구","1141011800","홍은동"
"NODE","POINT(126.94766692056209 37.597024543121556)","168070","0","","0","","","","","1141000000","서대문구","1141011100","홍제동"
"NODE","POINT(126.94643130589493 37.597421470317656)","168085","0","","0","","","","","1141000000","서대문구","1141011800","홍은동"
"LINK","","0","","LINESTRING(126.931595109572 37.562151014032466,126.93175893584727 37.562266517018706)","81282","1000","61813","213778","19.3350","1141000000","서대문구","1141011700","연희동"
"NODE","POINT(126.916826696146 37.568545172643944)","150327","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"NODE","POINT(126.9134349802709 37.56983003142693)","150325","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"NODE","POINT(126.9136144074965 37.57006378339265)","150324","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"NODE","POINT(126.91113890137726 37.57664211293062)","183796","0","","0","","","","","1141000000","서대문구","1141011900","북가좌동"
